"","eigenvalue","percentage of variance","cumulative percentage of variance"
"dim 141",0.0503391544540396,0.194730545869404,93.0496592885572
"dim 142",0.0498214524516452,0.19272788224469,93.2423871708018
"dim 143",0.0493791112909542,0.19101674234542,93.4334039131473
"dim 144",0.0479103870130051,0.185335171340134,93.6187390844874
"dim 145",0.0472927978198067,0.182946106962337,93.8016851914497
"dim 146",0.0465296590723354,0.179994002850122,93.9816791942999
"dim 147",0.046126861366143,0.178435831719667,94.1601150260195
"dim 148",0.0456295132125369,0.17651190434168,94.3366269303612
"dim 149",0.0442949658509876,0.171349379483613,94.5079763098448
"dim 150",0.0433516703771898,0.167700362242044,94.6756766720869
"dim 151",0.0423815588889191,0.163947610696771,94.8396242827836
"dim 152",0.0416300321001694,0.161040425953683,95.0006647087373
"dim 153",0.0408974841615846,0.158206658451959,95.1588713671893
"dim 154",0.0403591241956618,0.156124082151753,95.314995449341
"dim 155",0.0394360381761559,0.15255324258537,95.4675486919264
"dim 156",0.0377493927348398,0.146028671582186,95.6135773635086
"dim 157",0.0369105025723819,0.142783532862006,95.7563608963706
"dim 158",0.0365673112142401,0.141455941224176,95.8978168375948
"dim 159",0.0353774952885193,0.136853291314526,96.0346701289093
"dim 160",0.0346175747561766,0.133913636453705,96.168583765363
"dim 161",0.0334081843063041,0.129235265014472,96.2978190303775
"dim 162",0.0330450496581935,0.127830525323915,96.4256495557014
"dim 163",0.0327434632256219,0.126663876990656,96.552313432692
"dim 164",0.0316341038879814,0.122372463046044,96.6746858957381
"dim 165",0.0308624869191019,0.11938756202453,96.7940734577626
"dim 166",0.030193135081307,0.116798260512295,96.9108717182749
"dim 167",0.0296063520223857,0.114528365703573,97.0254000839785
"dim 168",0.0278845742629484,0.107867889845419,97.1332679738239
"dim 169",0.0276245853418006,0.106862156136059,97.24013012996
"dim 170",0.0267336380648308,0.103415641162439,97.3435457711224
"dim 171",0.0258101986714615,0.0998434346147054,97.4433892057371
"dim 172",0.0250498715024392,0.0969022067321785,97.5402914124693
"dim 173",0.024105030559787,0.093247211043079,97.6335386235124
"dim 174",0.0239338908866301,0.0925851792244043,97.7261238027368
"dim 175",0.0227364674542699,0.0879531006535731,97.8140769033903
"dim 176",0.0221276496494802,0.0855979672639182,97.8996748706543
"dim 177",0.0215072970145383,0.0831982128670885,97.9828730835213
"dim 178",0.0213977697071094,0.0827745205624692,98.0656476040838
"dim 179",0.0208517513608915,0.0806623188028866,98.1463099228867
"dim 180",0.0197736656235703,0.0764918827596222,98.2228018056463
"dim 181",0.0195148783661566,0.0754907975318952,98.2982926031782
"dim 182",0.0182153412168121,0.0704637051777621,98.368756308356
"dim 183",0.0180225150460352,0.0697177819317215,98.4384740902877
"dim 184",0.0177954168699615,0.068839281840244,98.507313372128
"dim 185",0.0176953219312729,0.0684520774411833,98.5757654495691
"dim 186",0.017112637433831,0.0661980373905087,98.6419634869596
"dim 187",0.0158806068291431,0.0614320854236808,98.7033955723833
"dim 188",0.015409987154854,0.0596115537309032,98.7630071261142
"dim 189",0.0153460261807592,0.0593641289273898,98.8223712550416
"dim 190",0.0146833253122025,0.0568005558344013,98.879171810876
"dim 191",0.0143251306432973,0.0554149258181659,98.9345867366942
"dim 192",0.0142007470804733,0.0549337639999234,98.9895205006941
"dim 193",0.0139952512299319,0.0541388297269141,99.043659330421
"dim 194",0.0135844895659991,0.0525498510500298,99.0962091814711
"dim 195",0.0127148473901587,0.0491857521204962,99.1453949335915
"dim 196",0.012427201474523,0.0480730308843861,99.1934679644759
"dim 197",0.0114173476701368,0.0441665412997037,99.2376345057756
"dim 198",0.0104656951156987,0.0404851957663189,99.278119701542
"dim 199",0.0102973433269139,0.0398339485198423,99.3179536500618
"dim 200",0.0102175149544732,0.0395251427262241,99.357478792788
"dim 201",0.00995372056731406,0.0385046880609461,99.395983480849
"dim 202",0.00950606587464029,0.0367729934464695,99.4327564742954
"dim 203",0.00937648133587043,0.0362717123215764,99.469028186617
"dim 204",0.00869626479703899,0.0336403821104784,99.5026685687275
"dim 205",0.0083028253185483,0.0321184120805087,99.534786980808
"dim 206",0.00796636934013136,0.0308168753930386,99.565603856201
"dim 207",0.00762478986719185,0.0294955191258406,99.5950993753269
"dim 208",0.00723396425679231,0.0279836605084629,99.6230830358353
"dim 209",0.0070322768862553,0.0272034588506163,99.650286494686
"dim 210",0.00675667366306276,0.0261373232216468,99.6764238179076
"dim 211",0.0063837064423535,0.0246945474883671,99.701118365396
"dim 212",0.00593201735594487,0.0229472463405119,99.7240656117365
